192.168.10.8,Sat Dec 17 09:55:08 2022,1671263708620632733,outbound_node_connected: 3cdce0ee00fb669a994a35d2dad07a6ab90ac849bc979ae41c5dd8c295a159e1b3819e4090b26fed456adf60c9b551461915aad11957b90f7ef2da653b73029a
192.168.10.4,Sat Dec 17 09:55:09 2022,1671263709397202898,connecting started
192.168.10.4,Sat Dec 17 09:55:09 2022,1671263709400425842,game_id when checking connection 10
192.168.10.4,Sat Dec 17 09:55:09 2022,1671263709405986769,inbound_node_connected: c577d3bd089178fc30bab972294cdcf123e5313947b3224c57f91eda96c378f869ae7771a6d8d7f811616a5dcb2a1bd02be80ae0a3342ad12c9b6a3887cc2ea6
192.168.10.8,Sat Dec 17 09:55:09 2022,1671263709408316530,outbound_node_connected: 24d87ffdcdd61c8f0536f8ad8bb403201598bfc6bac075ce0c0fa15beb97cc3ffada484520ddaee2264ae73042ee3dcb94a78ed21a660f566fdb342c8275a138
192.168.10.8,Sat Dec 17 09:55:11 2022,1671263711413814606,Connecting message and IPs sent to nodes 1 and 2
192.168.10.8,Sat Dec 17 09:55:11 2022,1671263711415790830,game_id when checking connection 10
192.168.10.6,Sat Dec 17 09:55:11 2022,1671263711414197961,"Message from 192.168.10.8: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'connecting', 'game_id': 10}"
192.168.10.4,Sat Dec 17 09:55:11 2022,1671263711417741513,"Message from 192.168.10.8: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'connecting', 'game_id': 10}"
192.168.10.6,Sat Dec 17 09:55:11 2022,1671263711422394239,outbound_node_connected: 24d87ffdcdd61c8f0536f8ad8bb403201598bfc6bac075ce0c0fa15beb97cc3ffada484520ddaee2264ae73042ee3dcb94a78ed21a660f566fdb342c8275a138
192.168.10.4,Sat Dec 17 09:55:11 2022,1671263711425051954,inbound_node_connected: 3cdce0ee00fb669a994a35d2dad07a6ab90ac849bc979ae41c5dd8c295a159e1b3819e4090b26fed456adf60c9b551461915aad11957b90f7ef2da653b73029a
192.168.10.8,Sat Dec 17 09:55:11 2022,1671263711431019313,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 10}"
192.168.10.8,Sat Dec 17 09:55:11 2022,1671263711433078031,informing server about two peers
192.168.10.8,Sat Dec 17 09:55:11 2022,1671263711434706588,Informing server about the succesful connection with 2 peers
192.168.10.4,Sat Dec 17 09:55:11 2022,1671263711429240060,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 10}"
192.168.10.4,Sat Dec 17 09:55:11 2022,1671263711441032004,informing server about two peers
192.168.10.4,Sat Dec 17 09:55:11 2022,1671263711443216121,Informing server about the succesful connection with 2 peers
192.168.10.6,Sat Dec 17 09:55:11 2022,1671263711461868575,"Message from 192.168.10.4: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 10}"
192.168.10.8,Sat Dec 17 09:55:11 2022,1671263711463970197,"Message from 192.168.10.4: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'start game', 'game_id': 10}"
192.168.10.6,Sat Dec 17 09:55:11 2022,1671263711462975474,informing server about two peers
192.168.10.6,Sat Dec 17 09:55:11 2022,1671263711463955857,Informing server about the succesful connection with 2 peers
192.168.10.8,Sat Dec 17 09:55:14 2022,1671263714940405072,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'move', 'game_id': 10, 'state': {'sticks': [1, 1, 0, 1, 1, 1, 1, 0], 'players': ['192.168.10.6', '192.168.10.4', '192.168.10.8'], 'phase': 'playing', 'announcement': 'Player 1 picked 2 sticks.\n', 'player_in_turn': 2, 'winner': None, 'lost': [], 'turn_count': 1}}"
192.168.10.4,Sat Dec 17 09:55:14 2022,1671263714939478218,"Message from 192.168.10.6: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'move', 'game_id': 10, 'state': {'sticks': [1, 1, 0, 1, 1, 1, 1, 0], 'players': ['192.168.10.6', '192.168.10.4', '192.168.10.8'], 'phase': 'playing', 'announcement': 'Player 1 picked 2 sticks.\n', 'player_in_turn': 2, 'winner': None, 'lost': [], 'turn_count': 1}}"
192.168.10.8,Sat Dec 17 09:55:17 2022,1671263717510902705,"Message from 192.168.10.4: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'move', 'game_id': 10, 'state': {'sticks': [0, 1, 1, 1, 1, 0], 'players': ['192.168.10.6', '192.168.10.4', '192.168.10.8'], 'phase': 'playing', 'announcement': 'Player 2 picked 2 sticks.\n', 'player_in_turn': 3, 'winner': None, 'lost': [], 'turn_count': 2}}"
192.168.10.6,Sat Dec 17 09:55:17 2022,1671263717509562397,"Message from 192.168.10.4: {'1': '192.168.10.6', '2': '192.168.10.4', '3': '192.168.10.8', 'status': 'move', 'game_id': 10, 'state': {'sticks': [0, 1, 1, 1, 1, 0], 'players': ['192.168.10.6', '192.168.10.4', '192.168.10.8'], 'phase': 'playing', 'announcement': 'Player 2 picked 2 sticks.\n', 'player_in_turn': 3, 'winner': None, 'lost': [], 'turn_count': 2}}"
